timestamp,temp_55,temp_43,hum_43,wind_speed_43,wind_dir_43
2025-11-07 18:01:00.599297+01:00,19.5,18.22,87.0,1.34,184.0
2025-11-07 18:06:01.248327+01:00,19.5,18.17,86.9,0.89,187.0
2025-11-07 18:27:29.552695+01:00,19.22,18.0,88.5,1.34,202.0
2025-11-07 18:32:30.193517+01:00,19.22,18.0,88.8,1.34,191.0
2025-11-07 18:37:30.793753+01:00,19.11,18.0,88.9,1.34,202.0
2025-11-07 18:42:31.540290+01:00,19.11,18.06,88.9,1.79,202.0
2025-11-07 18:47:32.163386+01:00,19.11,18.0,88.8,0.89,213.0
2025-11-07 18:52:32.717904+01:00,19.11,18.0,88.7,0.89,5.0
2025-11-07 18:57:33.356835+01:00,19.06,17.94,88.9,1.34,45.0
2025-11-07 19:02:34.073893+01:00,18.94,17.83,89.3,1.79,112.0
2025-11-07 19:07:34.706659+01:00,18.94,17.72,89.9,2.24,34.0
2025-11-07 19:12:35.372138+01:00,18.94,17.67,90.0,1.34,57.0
2025-11-07 19:17:36.064141+01:00,18.94,17.67,90.4,0.89,36.0
2025-11-07 19:22:36.947346+01:00,18.89,17.61,90.7,1.79,46.0
2025-11-07 19:27:37.760312+01:00,18.78,17.61,91.0,1.34,67.0
2025-11-07 19:32:38.415215+01:00,18.67,17.56,91.1,1.79,112.0
2025-11-07 19:37:39.050306+01:00,18.67,17.56,91.3,2.68,113.0
2025-11-07 19:42:39.779984+01:00,18.67,17.61,91.4,1.34,166.0
2025-11-07 19:47:40.501860+01:00,18.61,17.56,91.5,1.34,86.0
2025-11-07 19:52:41.827611+01:00,18.61,17.56,91.6,1.34,32.0
2025-11-07 19:57:42.452107+01:00,18.61,17.5,91.6,1.79,45.0
2025-11-07 20:02:44.111416+01:00,18.61,17.5,91.8,1.79,67.0
2025-11-07 20:07:44.774335+01:00,18.5,17.44,92.0,1.34,166.0
2025-11-07 20:12:45.565837+01:00,18.5,17.5,92.0,1.34,112.0
2025-11-07 20:17:46.627088+01:00,18.5,17.5,92.2,1.34,67.0
2025-11-07 20:22:47.284775+01:00,18.5,17.5,92.2,2.68,109.0
2025-11-07 20:27:47.981654+01:00,18.5,17.5,92.3,3.58,22.0
2025-11-07 20:32:48.770388+01:00,18.33,17.56,92.4,2.68,329.0
2025-11-07 20:37:49.549661+01:00,18.33,17.5,92.4,3.58,26.0
2025-11-07 20:42:50.597073+01:00,18.22,17.5,91.8,3.58,351.0
2025-11-07 20:47:51.255080+01:00,18.17,17.5,91.0,4.47,355.0
2025-11-07 20:52:51.877998+01:00,18.17,17.56,90.7,2.24,340.0
2025-11-07 20:57:52.473908+01:00,17.89,17.5,90.3,2.24,355.0
2025-11-07 21:02:53.337738+01:00,17.78,17.44,89.4,3.58,344.0
2025-11-07 21:07:54.177038+01:00,17.72,17.5,88.6,2.24,9.0
2025-11-07 21:12:54.840067+01:00,17.78,17.5,88.2,3.13,11.0
2025-11-07 21:17:55.450167+01:00,17.72,17.56,88.0,3.58,337.0
2025-11-07 21:22:56.301123+01:00,17.72,17.56,87.6,3.58,347.0
2025-11-07 21:27:56.948096+01:00,17.5,17.61,87.3,2.68,339.0
2025-11-07 21:32:57.603078+01:00,17.44,17.61,86.9,3.58,360.0
2025-11-07 21:37:58.218926+01:00,17.44,17.56,86.8,1.79,350.0
2025-11-07 21:42:58.874319+01:00,17.33,17.56,86.3,3.58,349.0
2025-11-07 21:47:59.513533+01:00,17.28,17.56,86.0,3.58,323.0
2025-11-07 21:53:00.229070+01:00,17.17,17.56,86.3,3.58,355.0
2025-11-07 21:58:00.832880+01:00,17.06,17.5,86.5,4.92,22.0
2025-11-07 22:03:01.489965+01:00,17.06,17.44,86.6,3.58,345.0
2025-11-07 22:08:02.141385+01:00,17.0,17.5,86.3,4.92,337.0
2025-11-07 22:13:02.945230+01:00,16.89,17.5,86.3,2.68,350.0
2025-11-07 22:18:03.675456+01:00,16.83,17.44,86.1,1.79,344.0
2025-11-07 22:23:04.324901+01:00,16.83,17.44,85.3,4.47,342.0
2025-11-07 22:28:05.144577+01:00,16.72,17.44,85.2,2.68,333.0
2025-11-07 22:33:05.801927+01:00,16.67,17.39,84.8,1.34,344.0
2025-11-07 22:38:06.574703+01:00,16.67,17.33,84.7,1.34,18.0
2025-11-07 22:43:07.230319+01:00,16.56,17.28,84.4,2.24,337.0
2025-11-07 22:48:07.869476+01:00,16.44,17.33,84.0,5.36,360.0
2025-11-07 22:53:08.530452+01:00,16.44,17.28,84.1,3.13,17.0
2025-11-07 22:58:09.314849+01:00,16.39,17.22,84.3,1.79,333.0
2025-11-07 23:03:09.966580+01:00,16.28,17.22,84.0,2.24,32.0
2025-11-07 23:08:10.661507+01:00,16.28,17.11,84.2,1.34,348.0
2025-11-07 23:13:11.310832+01:00,16.22,17.0,84.3,2.24,13.0
2025-11-07 23:18:11.948999+01:00,16.22,17.0,83.4,2.24,360.0
2025-11-07 23:23:12.653730+01:00,16.11,17.0,83.3,1.34,319.0
2025-11-07 23:28:13.273527+01:00,16.06,16.89,83.1,2.24,337.0
2025-11-07 23:33:13.940074+01:00,15.94,16.78,83.8,1.79,346.0
